Farm_ID,Current_Crop,Farm_Area(acres),Irrigation_Type,Soil_Type,Season,Previous_Crop_1,Previous_Crop_2,Previous_Crop_3,Rotation_Health_Score,Fertilizer_Used(tons),Pesticide_Used(kg),Water_Usage(cubic meters),Yield(tons),Organic_Matter_Content(%),Soil_pH,Chemical_Free_Days,Sustainability_Score,Fertilizer_Category,Pesticide_Category,Current_Fertilizer,Current_Pesticide,Sustainable_Recommendations
F0000,Sugarcane,370.68,Drip,Silty,Rabi,Potato,Wheat,Potato,52.5,10.0,5.0,56555.14,186.16,4.09,5.59,255,14.89,Chemical,Chemical,MOP,Synthetic Insecticides,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0001,Maize,74.06,Manual,Clay,Zaid,Wheat,Maize,Potato,52.5,0.53,0.42,16163.71,21.68,4.94,6.67,223,90.07,Chemical,Mixed,NPK,Limited Chemical + Neem,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0002,Rice,203.22,Flood,Peaty,Kharif,Rice,Legumes,Maize,62.5,3.58,1.23,60414.57,69.1,2.55,5.6,325,59.11,Chemical,Organic,NPK,Biological Control,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0003,Soybean,222.94,Rain-fed,Clay,Rabi,Rice,Soybean,Soybean,65.0,6.06,1.6,18053.99,49.85,2.98,7.18,311,61.28,Mixed,Chemical,DAP + Vermicompost,Chemical Herbicides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0004,Potato,67.0,Manual,Peaty,Rabi,Soybean,Wheat,Potato,62.5,0.66,0.78,19689.5,12.41,1.34,5.5,336,85.6,Chemical,Organic,NPK,Biological Control,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0005,Tomato,255.43,Drip,Clay,Kharif,Tomato,Tomato,Tomato,17.5,4.41,3.15,32915.92,92.58,1.68,6.9,200,47.86,Organic,Chemical,Vermicompost,Chemical Herbicides,"{'fertilizer': 'Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0006,Wheat,215.9,Drip,Silty,Rabi,Soybean,Wheat,Wheat,45.0,3.58,2.13,37769.3,60.68,4.49,6.59,138,57.43,Mixed,Chemical,Urea + Compost,Chemical Herbicides,"{'fertilizer': 'Urea + Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0007,Wheat,147.1,Flood,Peaty,Zaid,Soybean,Rice,Wheat,62.5,2.31,1.43,36692.12,37.47,1.43,6.55,95,68.12,Chemical,Chemical,DAP,Chemical Fungicides,"{'fertilizer': 'Compost', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0008,Wheat,32.09,Manual,Silty,Rabi,Wheat,Wheat,Potato,35.0,0.52,0.64,7961.19,8.78,4.54,7.47,304,91.3,Mixed,Chemical,DAP + Vermicompost,Chemical Herbicides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0009,Potato,240.79,Rain-fed,Loamy,Kharif,Wheat,Wheat,Potato,35.0,7.2,2.06,24788.85,44.12,4.01,7.03,363,52.01,Chemical,Chemical,MOP,Chemical Herbicides,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0010,Cotton,116.43,Manual,Silty,Zaid,Wheat,Wheat,Maize,52.5,3.15,0.93,33920.98,15.95,4.72,5.94,280,70.93,Chemical,Organic,NPK,Biological Control,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '6 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0011,Potato,62.63,Rain-fed,Sandy,Kharif,Soybean,Wheat,Maize,80.0,0.5,0.38,5502.05,15.33,1.44,6.72,343,95.03,Chemical,Chemical,DAP,Chemical Herbicides,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0012,Maize,430.56,Manual,Silty,Rabi,Maize,Wheat,Maize,35.0,10.0,5.0,103350.15,120.61,4.64,6.35,305,6.53,Mixed,Chemical,DAP + Vermicompost,Chemical Fungicides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0013,Soybean,145.75,Manual,Silty,Kharif,Rice,Maize,Soybean,72.5,1.95,1.75,42093.92,31.9,3.06,6.12,27,65.0,Chemical,Mixed,NPK,Integrated Pest Management,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0014,Barley,407.8,Sprinkler,Peaty,Rabi,Barley,Barley,Barley,17.5,9.06,2.05,74944.4,84.54,4.38,6.47,313,34.29,Chemical,Chemical,MOP,Chemical Herbicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0015,Tomato,108.13,Sprinkler,Peaty,Zaid,Maize,Soybean,Wheat,80.0,2.95,0.65,21820.41,43.62,3.7,6.12,178,78.21,Chemical,Chemical,NPK,Synthetic Insecticides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0016,Potato,51.11,Drip,Silty,Zaid,Potato,Maize,Wheat,52.5,1.22,1.1,8117.19,10.94,1.24,6.38,219,84.81,Chemical,Chemical,MOP,Synthetic Insecticides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0017,Soybean,44.77,Rain-fed,Peaty,Rabi,Maize,Maize,Wheat,62.5,2.14,1.02,3923.17,8.01,4.89,7.2,280,84.28,Chemical,Chemical,MOP,Chemical Herbicides,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0018,Sugarcane,172.67,Drip,Silty,Zaid,Wheat,Potato,Sugarcane,52.5,2.74,2.78,27120.4,67.5,3.65,7.48,153,58.01,Organic,Chemical,Bio-fertilizer,Chemical Fungicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0019,Potato,179.87,Flood,Silty,Rabi,Potato,Wheat,Wheat,35.0,3.83,2.35,43407.82,45.47,3.01,7.4,266,52.52,Chemical,Organic,NPK,Neem Extract,"{'fertilizer': 'Vermicompost', 'transition_time': '6 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0020,Rice,203.86,Manual,Peaty,Rabi,Maize,Legumes,Legumes,72.5,6.05,2.03,60334.38,46.41,4.47,6.33,282,44.33,Chemical,Chemical,Urea,Chemical Fungicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0021,Sugarcane,107.17,Drip,Loamy,Kharif,Potato,Wheat,Soybean,80.0,1.5,0.34,17220.25,41.76,1.19,6.42,338,87.4,Mixed,Chemical,Urea + Compost,Chemical Fungicides,"{'fertilizer': 'Urea + Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0022,Soybean,114.14,Manual,Silty,Kharif,Wheat,Maize,Maize,62.5,2.15,0.82,29661.9,17.53,1.41,6.61,1,76.86,Organic,Organic,Compost,Herbal Pesticides,"{'fertilizer': 'Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0023,Sugarcane,111.59,Flood,Loamy,Kharif,Sugarcane,Potato,Potato,35.0,0.94,1.53,28825.06,36.0,1.0,7.03,293,74.85,Chemical,Chemical,NPK,Chemical Fungicides,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0024,Rice,415.12,Drip,Silty,Zaid,Maize,Rice,Maize,35.0,8.83,2.31,50364.21,124.31,3.87,6.57,35,37.63,Chemical,Chemical,DAP,Chemical Fungicides,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0025,Rice,114.44,Drip,Peaty,Zaid,Wheat,Wheat,Rice,35.0,3.79,1.51,17839.37,42.98,3.6,5.86,120,69.24,Organic,Chemical,Compost,Chemical Herbicides,"{'fertilizer': 'Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
